year	month	day	hour	O3 (ug/m3)	NOX (ug/m3)	NO2 (ug/m3)	PM25 (ug/m3)	PM10 (ug/m3)
2015	8	26	3	51.5723808936	2.28591537476	2.28591537476	3.90231466293	8.34065216369
2015	8	26	4	48.6567676196	2.56674519216	2.56674519216	3.7101834252	8.20712715436
2015	8	26	5	46.6573835469	3.11841521601	3.11799138784	3.36658923534	7.7254819554
2015	8	26	6	39.012455882	4.97140442347	4.72218990326	3.50058222455	7.02721522332
2015	8	26	7	38.4141120911	5.01923471777	4.66686540842	3.87754762173	6.50642169466
2015	8	26	8	44.5429582596	4.24959360698	3.91140949424	4.12887132168	6.45115149021
2015	8	26	9	48.4631519318	3.48289964277	3.14909305367	3.80057156086	6.08401522992
2015	8	26	10	54.183678627	2.49362736644	2.2515807139	3.83902099603	5.92299091816
2015	8	26	11	59.728638649	1.92070018583	1.73651701212	3.85629473058	5.38316875412
2015	8	26	12	63.5064422736	1.49654597522	1.34565547109	3.39488625526	5.06141169561
2015	8	26	13	67.5665607452	1.65811374557	1.49612793715	3.09330618382	4.73404586315
2015	8	26	14	72.5097007751	1.56880747467	1.43645048141	3.65476518869	5.08817279339
2015	8	26	15	77.5747940992	1.56886577053	1.46998059662	4.20662772655	5.10709226131
2015	8	26	16	79.9573456412	2.33158714908	2.20171885396	3.66110950708	4.95590889454
2015	8	26	17	80.3146743774	2.32100485013	2.21997100115	2.82323763504	4.69502466818
2015	8	26	18	83.8797224938	2.16727880417	2.11594682932	2.79028391838	4.63009047508
2015	8	26	19	86.2887840271	2.64758014249	2.64567005634	2.81231872852	5.57315003872
2015	8	26	20	85.8964805603	2.87731991781	2.87731991781	2.93906529012	6.14508023083
2015	8	26	21	86.2491416931	2.66971355677	2.66971355677	3.51659853118	6.21232710044
2015	8	26	22	83.4273643494	2.88139331341	2.88139331341	3.8636392355	6.20477732292
2015	8	26	23	78.566204071	3.73289616732	3.73289616732	4.10569951621	7.12794756889
2015	8	27	0	73.2420626842	4.00315612555	4.00315612555	4.44174826145	7.61672449112
2015	8	27	1	69.698841095	3.37204973762	3.37204973762	3.46067790574	6.51929616928
2015	8	27	2	64.8329868317	3.10934758186	3.10934758186	2.8864034798	4.90930811119
2015	8	27	3	58.8259735107	2.91434479778	2.91434479778	2.81405210495	4.2009344101
2015	8	27	4	53.2396297455	3.06965443136	3.06965443136	1.92203882337	3.97308474779
2015	8	27	5	50.1926164627	3.1339940644	3.13394463062	1.72880225214	3.70256727934
2015	8	27	6	47.183380127	3.70737203184	3.69034540653	1.49620230407	3.35494619608
2015	8	27	7	54.8381218232	4.35190162381	4.3167931675	1.35031011701	2.91466164589
2015	8	27	8	58.797504425	4.33191759468	4.20257401466	1.06501564384	2.64452727743
2015	8	27	9	59.2873573303	3.83034952697	3.7074711164	0.985818888198	2.6054186821
2015	8	27	10	62.7159431008	3.11067064903	3.00397199392	0.739314809556	2.14632408946
2015	8	27	11	63.9102010727	2.94286267903	2.84349888563	0.746713967045	2.00813643538
